brand_name,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,sentiment_label_mean,sentiment_label_count,rating_mean,rating_count
Algenist,0.7524448665659479,470,0.7049124946611472,258,0.5275176503357263,177,0.686555520008186,101,0.6327101225909371,136,0.7243238999215639,177,1.6666666666666667,960,4.254166666666666,960
Alpha-H,0.8537725734673182,48,0.7627332000300993,37,0.7099080733479122,23,0.833886631573431,13,0.7975031950045377,6,0.7174510780983328,19,1.8202247191011236,89,4.50561797752809,89
Augustinus Bader,0.8400184912104891,391,0.8152591193905584,186,0.7118465145135545,219,0.7104107373164402,221,0.5483666980025543,196,0.8183234507016791,135,1.8451086956521738,736,4.474184782608695,736
BeautyBio,0.7927659612579028,208,0.7646285100807249,116,0.7801727651715434,60,0.5724638955569461,85,0.5100535218090819,54,0.8393917075194675,92,1.691683569979716,493,4.251521298174442,493
Benefit Cosmetics,0.8651997822270294,1106,0.8066260364641091,398,0.741154451686767,458,0.6467248677120306,354,0.5580577977649622,86,0.8821422065170343,660,1.927905004240882,2358,4.6759966072943175,2358
Biossance,0.7409073833531572,2859,0.6798503604661547,1190,0.44062480000140114,1634,0.5859414935231501,353,0.4885098429881778,569,0.7523474787854356,1287,1.6025882352941176,4250,4.088235294117647,4250
Bobbi Brown,0.7988223506358619,13,0.8802061937749386,12,0.5145605267057868,12,0.5303154659399297,8,0.5525941334617062,13,0.4158624481642619,8,1.5555555555555556,45,4.155555555555556,45
CAY SKIN,0.8636726449292741,38,0.07031244382960722,4,0.7532640115763896,26,0.7701317109167576,2,0.7543599605560303,6,0.8379432893358171,15,1.7818181818181817,55,4.581818181818182,55
CLINIQUE,0.7712828109630592,9435,0.7365461588642889,5699,0.720689309849085,3466,0.646836177518357,1466,0.6742826451226636,2332,0.8004261418580072,5899,1.781698383111535,23069,4.390394035285448,23069
COOLA,,0,0.9923210740089417,1,0.48967992060352117,2,,0,,0,0.5079572847811505,5,1.25,8,3.5,8
