review_text,rating,is_recommended,predicted_sentiment,product_id,product_name,brand_name,skin_type,skin_tone,recommended_but_negative,not_recommended_but_positive
"if they make my skin soft after removing the mask. Unfortunately what I didn’t like is the smell of it. I don’t like the smell of roses, but since I received this in my playbox I was going to try it",4,1,0,P12336,Rose Face Mask,fresh,dry,lightMedium,True,False
"I’ve always loved this product, never had issues with it. Giving 3 stars for the bad packaging I received recently. I live in Canada, got this jar from a Sephora store few days ago and the jar was leaky because the lid wouldn’t close properly. Product had leaked inside the packaging and it was gross. Went back to store, exchanged it and the 2nd jar’s lid doesn’t close very well either. Attaching pic of both jars. Thankfully the 2nd jar isn’t leaking. I think they have a batch of badly made jars. Hopefully they address this issue soon.",3,1,0,P12336,Rose Face Mask,fresh,oily,lightMedium,True,False
"I purchased the Clinique Take The Day Off Cleansing Balm,1 oz./30ml, and got a sample of the Farmacy Green Clean makeup meltaway cleansing balm. The Clinique Cleansing Balm looked and felt like a very refined, unscented solid coconut oil. It also took longer to “melt away“ my NOT waterproof mascara and eye brow tint. There is no fragrance, but I had to cup water in my hands to rinse my eyes out of any residuals. I will continue to use this until I’m able to purchase the gel melt cleanser I prefer. The Farmacy cleansing balm, I used once, I did not like the slight fragrance and the way my eyes felt after using it.",2,0,2,P126301,Take The Day Off Cleansing Balm Makeup Remover,CLINIQUE,dry,light,False,True
I have heard all the rave about this product and it does its job. I still prefer my usual routine and other products more that take off all makeup including eye makeup like mascara. I used this when I traveled and couldn’t take all my usuals. Still recommend using a facial cleanser afterwords as well.,4,0,2,P126301,Take The Day Off Cleansing Balm Makeup Remover,CLINIQUE,dry,fair,False,True
"This product is a hit or miss in my opinion. I️ have acne prone skin, and this does in fact remove my makeup, but I️t clogs my pores. Made my forehead break out severely, and I️ haven’t have something ever break me out that poorly. If you aren’t acne prone, this a great product!",3,0,2,P126301,Take The Day Off Cleansing Balm Makeup Remover,CLINIQUE,combination,medium,False,True
I ordered this and got Laura setting powder instead so wired now I gotta go back to the store and get this again.. some odd mistake I’m guessing,4,1,0,P248404,Pure Skin Face Cleanser,First Aid Beauty,oily,mediumTan,True,False
"This cream is more than I could’ve asked for! I was just looking for a new face cream and I liked the ingredients, price tag, and that it was cruelty free. Before I could use it as a face cream, I broke out in a very bad rash on my ankle. My skin was rough, itchy, and irritated but I couldn’t use any anti-itch treatment because that was what caused it in the first place. Then I picked up my bottle of FAB Ultra Repair Cream to read the label and low and behold, it seemed it might help. So I lathered it on and my rash was finally starting to heal! Thus, I brought it with me on my trip to Alaska where I got sunburned and my skin was getting dry from the cold and wind. With this cream, not only did my skin quickly repair itself, but I was pleasantly surprised that I didn’t break out! I usually break out when I go somewhere with a different climate and camp but I had no issues at all. I’m still using it and I have broken out a bit, but that is probably due to the amount of junk food I’m eating. It’s still much less than I would expect, which is wonderful.",5,1,0,P248407,Ultra Repair Cream Intense Hydration,First Aid Beauty,dry,light,True,False
"I’ve been shopping at Sephora for years and I have never written a review. But for this product, I HAD to. I’ve always struggled with flesh-colored bumps on my forehead. They didn’t have puss, it was just a bump. I asked for product recommendations multiple times regarding the bumps, and none of the products ever worked for me, it just made the problem worse. I walked to First Aid Beauty after an employee recommended the brand to me. I was going to get acne pads, but since they had the same packaging and I was in a hurry, I accidentally picked up this cream. I didn’t notice until I got home and I wasn’t up to going all the way back to return it. So, I decided to give this product a try. BEST DECISION I HAVE EVER MADE. This product cleared them after only a DAY of use. I have already been using this cream for a year and I swear by it. My face goes back to how it was when I don’t use this. Thank you, First Aid Beauty! I never thought I would get rid of the bumps and they were a huge hit to my self esteem. I don’t know what I would do without this product.",5,1,0,P248407,Ultra Repair Cream Intense Hydration,First Aid Beauty,combination,medium,True,False
LOOOOVE IT FOR A SPOT PIMPLE!(but only put it ON the pimple! It dries it up and will dry the crap out of your face if you apply all over it’s very strong) but I apply it on at night I wake up in the morning and my pimple is SO SMALL IF NOT GONE!,5,1,0,P297517,Super Spot Remover Acne Treatment Gel,Origins,normal,fair,True,False
"Not only is the bottle insanely tiny, but I bought this for my bf who has oily skin (which isn’t sensitive) and he’s acne prone so he did a skin test, and there wasn’t a reaction so he put it around his nose because that’s where he gets acne and within 45 minutes he had a severe reaction where his nose and the acne got significantly worse.  So we decided to just throw it but I wasn’t expecting for him to have such a terrible reaction especially because he uses salicylic acid to help with his acne so I’m not sure what caused this reaction.",1,0,2,P297517,Super Spot Remover Acne Treatment Gel,Origins,dry,light,False,True
"Wonderful product, not a big fan of the price for a small bottle.",4,0,2,P297524,Clear Improvement Active Charcoal Mask to Clear Pores,Origins,combination,lightMedium,False,True
"Oh wow, is it heavily scented. This is not for anyone who gets migraines or is sensitive to smell. It smells strongly of eucalyptus, or as most people recognize it, vick’s vapor rub. However, it is pretty effective of cleaning out the skin and leaving pores tight, as I woke up the next morning and felt a huge difference. I was glowing, but STILL smelled of eucalyptus. There are many, many effective masks out there - there’s no need to suffer in the smell with this one.",3,0,2,P297551,Out of Trouble 10 Minute Mask to Rescue Problem Skin,Origins,dry,fairLight,False,True
For the last two weeks I’ve had terrible acne on my chin that won’t go away. As soon as one zit gets better another pops up right near it. I’ve been so frustrated and tried different things and nothing was helping. Normally I swear by the origins charcoal mask but it wasn’t doing much. I had used this mask a couple times and wasn’t too impressed but had read reviews of people saying to use it as a spot treatment over night. I tried it last night and OMG my skin looked a million times better this morning.,5,1,0,P297551,Out of Trouble 10 Minute Mask to Rescue Problem Skin,Origins,normal,fairLight,True,False
"I have been using this product for about a year and a half now. And I do have to say that the reviews are correct about you going through a bottle very quickly. Keep in mind I’m only using one pump for my entire face and neck (spreads well). I think I’ve gone through 4-6 bottles this year alone, which is ridiculous for what you pay for a bottle ($37 x 6 = $222). I live in an extremely dry climate so my skin just sucks up this moisturizer, especially in the winter. This is both a good and bad thing, this moisturizer absorbs super quickly into my skin but it doesn’t feel like it is completely hydrated after one use and eventually feels dry later in the day. This past winter my skin got very dry and I needed to use the FAB salve to help. I don’t know if my skin is too used to this moisturizer or the formulation has changed but it isn’t as effective and it used to be.  Considering this moisturizer is marketed to people with dry skin, I expect more of a moisturizing component to come from it.All this being said, this moisturizer is still one of my favourites. I have struggled to find a good moisturizer for my acne prone, sensitive, combination skin for years. But this moisturizer and this company are amazing for my skin type and have truly saved my skin. Because of everything that this line has done for my skin, I will always be a loyal customer and will continue using this product.If you are looking for a moisturizer that has no scent and is safe for sensitive skin, look no further.",4,1,0,P375534,Ultra Repair Face Moisturizer,First Aid Beauty,combination,fair,True,False
"At first I was skeptical and thought maybe there was something in the formula that caused the clumps, making it seem like it’s dead skin. However, before I used it I had dyed my hair and got hair dye on my forehead and I was intensely scrubbing to get the dye off (I had an event the next day lol) so I knew that part of my forehead was exfoliated. So I put the peeling gel in that area and nothing rolled off! Which was to be expected since I already got the dead skin off from removing the dye. I then used it on my face and saw the “clumps“ removing my dead skin. So it definitely works and makes your face feel so smooth! I love it, especially since you don’t need so much either!",5,1,0,P377561,FIRMx Exfoliating Peel Gel,Peter Thomas Roth,combination,lightMedium,True,False
"The peel, mask, cucumber detox gel, and ant-aging wash came in a mini kit I picked up. It was one of those free with purchase deals. I loved the peel, but I was bummed when I checked to see if they were cruelty free and discovered they are not 100%, plus they sell to mainland China (which requires animal testing).",3,0,2,P377561,FIRMx Exfoliating Peel Gel,Peter Thomas Roth,combination,light,False,True
