ingredient,count_in_high_complaint_products,count_in_low_complaint_products,risk_ratio_association_only,p_value_fishers_exact,association_only_not_causal
parfum,5,19,5.82,0.0021,True
2-hexanediol,6,89,1.49,0.2056,True
ethylhexylglycerin,7,112,1.38,0.2284,True
tocopherol,7,122,1.27,0.3066,True
water/aqua/eau,5,87,1.27,0.3642,True
sodium hyaluronate,6,114,1.16,0.4217,True
citric acid,8,154,1.15,0.3975,True
disodium edta,6,116,1.14,0.4404,True
glycerin,16,316,1.12,0.2279,True
propanediol,6,123,1.08,0.5055,True
butylene glycol,8,182,0.97,0.6379,True
water,5,138,0.8,0.8056,True
phenoxyethanol,5,169,0.65,0.9372,True
